ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,SD_SCHUL_CODE,SCHUL_NM,ENG_SCHUL_NM,SCHUL_KND_SC_NM,LCTN_SC_NM,JU_ORG_NM,FOND_SC_NM,ORG_RDNZC,ORG_RDNMA,ORG_RDNDA,ORG_TELNO,HMPG_ADRES,COEDU_SC_NM,ORG_FAXNO,HS_SC_NM,INDST_SPECL_CCCCL_EXST_YN,HS_GNRL_BUSNS_SC_NM,SPCLY_PURPS_HS_ORD_NM,ENE_BFE_SEHF_SC_NM,DGHT_SC_NM,FOND_YMD,FOAS_MEMRD,LOAD_DTM
R10,경상북도교육청,8801159,경구중학교,Gyeonggu Middle School,중학교,경상북도,경상북도구미교육지원청,사립,39209 ,경상북도 구미시 봉곡로9길 25,"(봉곡동,경구중학교)",054-442-0337,http://school.gyo6.net/kgms,남,054-442-0402,,N,일반계,,전기,주간,19991130,19991130,20260423
R10,경상북도교육청,8791090,경덕중학교,Gyeongdeok Middle School,중학교,경상북도,경상북도안동교육지원청,사립,36667 ,경상북도 안동시 서악길 47,"(태화동, 경덕중학교)",054-852-7832,https://school.gyo6.net/adgd,남,054-852-0149,,N,일반계,,전기,주간,19520608,19520608,20260423
R10,경상북도교육청,8750813,경북골프경영고등학교,KYEONGBUK GOLFMANAGEMENT HIGHSCHOOL,고등학교,경상북도,경상북도교육청,사립,37443 ,경상북도 청송군 부남면 대전로 66,"(부남면, 경북골프경영고등학교)",054-872-3554,https://school.gyo6.net/kbgolf/,남여공학,054-874-0161,특성화고,N,전문계,,전기,주간,19740105,19740105,20260423
R10,경상북도교육청,8750078,경북과학고등학교,Kyeongbuk Science High School,고등학교,경상북도,경상북도교육청,공립,37666 ,경상북도 포항시 남구 지곡로 130,"(지곡동, 경북과학고등학교)",054-240-2600,https://school.gyo6.net/kbs,남여공학,054-248-2857,특목고,N,일반계,과학계열,전기,주간,19920627,19920627,20260423
R10,경상북도교육청,8750627,경북과학기술고등학교,Gyeongbuk Science Technology High School Principal,고등학교,경상북도,경상북도교육청,공립,39674 ,경상북도 김천시 아포읍 아포대로 1053,,054-429-0550,https://school.gyo6.net/gsths,남여공학,054-431-5002,특성화고,N,전문계,,전기,주간,19721226,19721226,20260423
R10,경상북도교육청,8750810,경북관광비즈니스고등학교,경북관광비즈니스고등학교,고등학교,경상북도,경상북도교육청,공립,36366 ,경상북도 울진군 평해읍 평해7길 61-3,(경북관광비즈니스고등학교),054-787-2007,https://school.gyo6.net/phhs,남여공학,054-787-1397,특성화고,N,전문계,,전기,주간,19751114,19760326,20260423
R10,경상북도교육청,8750667,경북기계금속고등학교,Gyeongbuk Mechanical High School,고등학교,경상북도,경상북도교육청,공립,38549 ,경상북도 경산시 자인면, 일연로 93,053-859-3800,https://school.gyo6.net/gbgigo,남여공학,053-859-3890,특성화고,N,전문계,,전기,주간,19940301,19940301,20260423
R10,경상북도교육청,8750758,경북기계명장고등학교,Gyeongbuk Mechanics Master High School,고등학교,경상북도,경상북도교육청,공립,39864 ,경상북도 칠곡군 지천면 신동로 99,"(지천면, 신동중.경북기계명장고등학교)",054-972-2461,http://school.gyo6.net/gbmmhs,남,054-972-8496,특성화고,N,전문계,,전기,주간,19831121,19831121,20260423
R10,경상북도교육청,8750731,경북드론고등학교,GyeongBuk Drone High School,고등학교,경상북도,경상북도교육청,공립,38309 ,경상북도 청도군 풍각면 헐티로 185,", 경북드론고등학교 ",054-370-9300,http://school.gyo6.net/gbdhs,남여공학,054-371-4529,특성화고,N,전문계,,전기,주간,19671005,19930401,20260423
R10,경상북도교육청,8750835,경북모빌리티고등학교,Angang Electronic High School,고등학교,경상북도,경상북도교육청,공립,38007 ,경상북도 경주시 안강읍 안강중앙로 269,경북모빌리티고등학교,054-761-2005,https://school.gyo6.net/anganghs,남여공학,054-761-5052,특성화고,N,전문계,,전기,주간,19600213,19600213,20260423
R10,경상북도교육청,8750805,경북바이오마이스터고등학교,GYEONGBUK BIO MEISTER HIGH SCHOOL,고등학교,경상북도,경상북도교육청,공립,38804 ,경상북도 영천시 신녕면 찰방길 8,(신녕면),054-332-0474,http://school.gyo6.net/gbm,남여공학,054-333-5134,특목고,N,전문계,,전기,주간,19540615,19701231,20260423
R10,경상북도교육청,8750444,경북생활과학고등학교,Gyeongbuk Domestic Science High School,고등학교,경상북도,경상북도교육청,공립,39154 ,경상북도 구미시 해평면 강동로 1654,", 경북생활과학고등학교 (해평면, 경북생활과학고등학교(해평중학교))",054-474-2593,https://school.gyo6.net/gbds,남여공학,054-474-2594,특성화고,N,전문계,,전기,주간,19671005,19671005,20260423
R10,경상북도교육청,8750730,경북세무고등학교,Gyeongbuk Taxation High School,고등학교,경상북도,경상북도교육청,공립,37528 ,경상북도 포항시 북구 기계면 기계로 218,경북세무고등학교,054-243-2203,http://school.gyo6.net/gts,남여공학,054-244-3138,특성화고,N,전문계,,전기,주간,19771112,19771112,20260423
R10,경상북도교육청,8750829,경북소프트웨어마이스터고등학교,Gyeongbuk Software Meister High School,고등학교,경상북도,경상북도교육청,공립,37362 ,경상북도 의성군 봉양면 봉호로 14,경북소프트웨어마이스터고등학교,054-832-2903,https://school.gyo6.net/gbsw,남여공학,054-833-2877,특성화고,N,전문계,,전기,주간,19671226,19680610,20260423
R10,경상북도교육청,8750836,경북에너지기술고등학교,Gyeongbuk Energy Technology High School,고등학교,경상북도,경상북도교육청,공립,37159 ,경상북도 상주시 상산로 430,경북에너지기술고등학교,054-532-1515,https://school.gyo6.net/sangsanhs,남여공학,054-536-1516,특성화고,N,전문계,,전기,주간,19750701,19750701,20260423
R10,경상북도교육청,8750358,경북영광학교,Gyeongbuk Yeonggwang School,특수학교,경상북도,경상북도교육청,사립,38909 ,경상북도 영천시 북안면 신평탑골길 4,"(북안면,경북영광학교)",054-331-6501,http://school.gyo6.net/kbyk,남여공학,054-331-6505,,N,일반계,,전기,주간,19831230,19840320,20260423
R10,경상북도교육청,8750818,경북온라인학교,경북온라인학교( Gyeongbuk Online School ),각종학교(고),경상북도,경상북도교육청,공립,38577 ,경상북도 경산시 남산면 하대2길 32-7,경북온라인학교,053-719-3748,https://school.gyo6.net/gbonline,남여공학,053-719-3758,일반고,N,해당없음,,전기,주간,20250301,20250301,20260423
R10,경상북도교육청,8750079,경북외국어고등학교,Gyeongbuk Foreign Language High School,고등학교,경상북도,경상북도교육청,공립,39306 ,경상북도 구미시 금오산로 198-10,", 경북외국어고등학교 (남통동,경북외국어고등학교)",054-458-2013,http://school.gyo6.net/gbflhs,남여공학,054-458-2015,특목고,N,일반계,외국어계열,전기,주간,19950324,19950324,20260423
R10,경상북도교육청,8750837,경북이커머스고등학교,Ganggu Information High School,고등학교,경상북도,경상북도교육청,공립,36460 ,경상북도 영덕군 강구면 신강구1길 45-5,", 경북이커머스고등학교",054-733-3944,https://school.gyo6.net/ganggu-ch/,남여공학,054-734-1334,특성화고,N,전문계,,전기,주간,19671129,19671129,20260423
R10,경상북도교육청,8750724,경북일고등학교,경북일고등학교,고등학교,경상북도,경상북도교육청,공립,36849 ,경상북도 예천군 호명읍 행복로 193,경북일고등학교,054-522-8002,https://school.gyo6.net/gyeongbuk,남여공학,054-522-8009,일반고,N,일반계,,전기,주간,19760301,19760301,20260423
R10,경상북도교육청,8750770,경북자연과학고등학교,Gyeongbuk Natural Science High School,고등학교,경상북도,경상북도교육청,사립,37266 ,경상북도 상주시 공성면 문화마을길 23,"(공성면, 용운중 경북자연과학고등학교)",054-532-3910,https://school.gyo6.net/gbns,남여공학,054-534-2537,특성화고,N,전문계,,전기,주간,19661117,19661117,20260423
R10,경상북도교육청,8750726,경북조리과학고등학교,Gyeongbuk Curinary Arts Science Highschool,고등학교,경상북도,경상북도교육청,공립,36915 ,경상북도 문경시 문경읍 향교길 20,(문경읍),054-572-0300,https://school.gyo6.net/mgtour,남여공학,054-572-1303,특성화고,N,전문계,,전기,주간,19740105,19740105,20260423
R10,경상북도교육청,8871063,경북중부중학교,Gyeongbukjungbu Middle School,중학교,경상북도,경상북도의성교육지원청,공립,37364 ,경상북도 의성군 비안면 이두2길 5,경북중부중학교,054-862-7784,https://school.gyo6.net/gbjbms,남여공학,054-862-7785,,N,,,전기,주간,20160301,20160518,20260423
R10,경상북도교육청,8750080,경북체육고등학교,Gyeongbuk Physical Education High School,고등학교,경상북도,경상북도교육청,공립,38646 ,경상북도 경산시 경안로 43,", 경북체육고등학교 (신교동, 경북체육중고등학교)",053-719-7711,http://school.gyo6.net/gbche,남여공학,053-812-6568,특목고,N,일반계,체육계열,전기,주간,19721111,19721111,20260423
R10,경상북도교육청,8851087,경북체육중학교,Gyeongbuk Physical Education Middle School,중학교,경상북도,경상북도경산교육지원청,공립,38646 ,경상북도 경산시 경안로 43,"(신교동, 경북체육중고등학교)",053-719-7711,https://school.gyo6.net/gbche,남여공학,053-812-6568,,N,일반계,,전기,주간,19721111,19721111,20260423
R10,경상북도교육청,8750644,경북하이텍고등학교,GyeongBuk Hi-Tech High School,고등학교,경상북도,경상북도교육청,사립,36643 ,경상북도 안동시 경동로 404,(태화동),054-842-8300,school.gyo6.net/hi-tech,남여공학,054-842-5402,특성화고,N,전문계,,전기,주간,19721229,19721229,20260423
R10,경상북도교육청,8750557,경북항공고등학교,Gyeongbuk Aviation High School,고등학교,경상북도,경상북도교육청,사립,36023 ,경상북도 영주시 풍기읍 금계로 90,", 경북항공고등학교 (풍기읍)",054-636-2701,http://경북항공고.한국,남여공학,054-636-2704,특성화고,N,전문계,,전기,주간,19540426,19540426,20260423
R10,경상북도교육청,8750776,경북휴먼테크고등학교,경북휴먼테크고등학교,고등학교,경상북도,경상북도교육청,사립,38877 ,경상북도 영천시 금호읍 교대길 8-18,"(금호읍, 경북휴먼테크고등학교)",054-333-3611,https://school.gyo6.net/khumantech,남여공학,054-333-6421,특성화고,N,전문계,,전기,주간,19930301,19930301,20260423
R10,경상북도교육청,8750081,경산고등학교,Gyeongsan High School,고등학교,경상북도,경상북도교육청,공립,38616 ,경상북도 경산시 원효로 89,"(계양동, 경산고등학교)",053-819-8900,https://school.gyo6.net/gyeongsanhs,남,053-811-5436,자율고,N,일반계,,전기,주간,19741005,19741005,20260423
R10,경상북도교육청,8750555,경산과학고등학교,Gyeongsan Science High School,고등학교,경상북도,경상북도교육청,공립,38540 ,경상북도 경산시 화랑로 66,(갑제동),053-717-7201,https://school.gyo6.net/gsshs,남여공학,053-717-7110,특목고,N,일반계,과학계열,전기,주간,20070301,20070301,20260423
R10,경상북도교육청,8851057,경산동부초등학교,Gyeongsan Dongbu Elementary School,초등학교,경상북도,경상북도경산교육지원청,공립,38591 ,경상북도 경산시 원효로28길 60-6,(계양동),053-819-6800,http://school.gyo6.net/ksdongbues,남여공학,053-819-6860,,N,일반계,,전기,주간,19920301,19920301,20260423
R10,경상북도교육청,8851058,경산서부초등학교,Gyeongsan Seobu Elementary School,초등학교,경상북도,경상북도경산교육지원청,공립,38675 ,경상북도 경산시 경산로42길 22-11,"(옥산동, 경산서부초등학교)",053-816-5101,https://school.gyo6.net/gssb,남여공학,053-816-5104,,N,일반계,,전기,주간,19970301,19970301,20260423
R10,경상북도교육청,8851129,경산압량초등학교,Gyeongsan Amnyang Elementary School,초등학교,경상북도,경상북도경산교육지원청,공립,38538 ,경상북도 경산시 압량읍 압독2로 38,"(압량읍, 경산압량초등학교)",053-740-1700,http://school.gyo6.net/ar,남여공학,053-740-1710,,N,일반계,,전기,주간,19280612,19280612,20260423
R10,경상북도교육청,8750144,경산여자고등학교,Gyeongsan Girls High School,고등학교,경상북도,경상북도교육청,사립,38684 ,경상북도 경산시 경산로 91,경산여자고등학교,053-811-4066,http://school.gyo6.net/gsgh,여,053-811-4070,일반고,N,일반계,,전기,주간,19721226,19730412,20260423
R10,경상북도교육청,8851096,경산여자중학교,Gyeongsan Girls Middle School,중학교,경상북도,경상북도경산교육지원청,사립,38684 ,경상북도 경산시 경산로 91,(옥곡동),053-811-4062,https://school.gyo6.net/gsgm,여,053-811-4070,,N,일반계,,전기,주간,19540412,19540412,20260423
R10,경상북도교육청,8750646,경산자인학교,GYEONGSAN JAIN SCHOOL,특수학교,경상북도,경상북도교육청,공립,38574 ,경상북도 경산시 자인면 원효로156길 ,83,053-859-5600,https://school.gyo6.net/gsjain,남여공학,053-856-4200,,N,해당없음,,전기,주간,20130901,20130901,20260423
R10,경상북도교육청,8750771,경산제일고등학교,Gyeongsan Girls Commercial High School,고등학교,경상북도,경상북도교육청,사립,38559 ,경상북도 경산시 자인면 원효로 851-16, 경산제일고등학교,053-857-2351,https://school.gyo6.net/gnc,여,053-857-1655,특성화고,N,전문계,,전기,주간,19740105,19740105,20260423
R10,경상북도교육청,8851143,경산제일중학교,경산제일중학교,중학교,경상북도,경상북도경산교육지원청,사립,38559 ,경상북도 경산시 자인면 원효로 851-16,경산제일중학교 (자인면),053-857-3199,http://school.gyo6.net/gjm,여,053-857-1655,,N,일반계,,전기,주간,19691215,19691215,20260423
R10,경상북도교육청,8851059,경산중앙초등학교,Gyeongsan Jungang Elementary School,초등학교,경상북도,경상북도경산교육지원청,공립,38626 ,경상북도 경산시 중앙초등길 9,(중방동),053-811-2472,https://school.gyo6.net/gsja,남여공학,053-815-3394,,N,일반계,,전기,주간,19451122,19451122,20260423
R10,경상북도교육청,8851088,경산중학교,Gyeongsan Middle School,중학교,경상북도,경상북도경산교육지원청,공립,38616 ,경상북도 경산시 원효로 89,(계양동),053-717-3377,http://school.gyo6.net/gyeongsanms/,남,053-813-7459,,N,일반계,,전기,주간,19461101,19461101,20260423
R10,경상북도교육청,8851060,경산초등학교,Gyeongsan Elementary School,초등학교,경상북도,경상북도경산교육지원청,공립,38645 ,경상북도 경산시 경안로 84 경산초등학교,(삼남동),053-811-4232,http://school.gyo6.net/gyeongsanes,남여공학,053-815-2392,,N,일반계,,전기,주간,19110731,19110731,20260423
R10,경상북도교육청,8750145,경안고등학교,GYEONGAN HIGH SCHOOL,고등학교,경상북도,경상북도교육청,사립,36690 ,경상북도 안동시 제비원로 182,"(금곡동, 경안고등학교)",054-857-4703,https://school.gyo6.net/ka,남,054-841-0871,일반고,N,일반계,,전기,주간,19540220,19540220,20260423
R10,경상북도교육청,8750588,경안여자고등학교,GyeongAn Girls High School,고등학교,경상북도,경상북도교육청,사립,36623 ,경상북도 안동시 경동로 205-34,"(송현동,경안여자고등학교)",054-843-3965,http://school.gyo6.net/gagi,여,054-843-3966,일반고,N,일반계,,전기,주간,19641205,19641205,20260423
R10,경상북도교육청,8791091,경안여자중학교,Gyeongan Girls' Middle School,중학교,경상북도,경상북도안동교육지원청,사립,36689 ,경상북도 안동시 금곡윗4길 47,경안여자중학교(금곡동),054-853-8911,http://school.gyo6.net/gyeongangm,여,054-857-8705,,N,일반계,,전기,주간,19641113,19641113,20260423
R10,경상북도교육청,8791092,경안중학교,Gyeongan Middle School,중학교,경상북도,경상북도안동교육지원청,사립,36623 ,경상북도 안동시 경동로 205-33,"(송현동,경안중학교)",054-843-4043,http://school.gyo6.net/gyeongan,남,054-843-4045,,N,일반계,,전기,주간,19610307,19610307,20260423
R10,경상북도교육청,8750146,경일고등학교,Gyeongil High School,고등학교,경상북도,경상북도교육청,사립,36687 ,경상북도 안동시 치이골길 46,"(신안동, 경일고등학교)",054-858-3211,http://school.gyo6.net/gyeongilhs,남,054-853-7483,일반고,N,일반계,,전기,주간,19720617,19720617,20260423
R10,경상북도교육청,8750147,경주고등학교,Gyeongju High School,고등학교,경상북도,경상북도교육청,사립,38151 ,경상북도 경주시 원효로 231,", 경주고등학교 (황오동)",054-775-9670,https://school.gyo6.net/gyeongjuhs,남,054-775-9677,일반고,N,일반계,,전기,주간,19380326,19380326,20260423
R10,경상북도교육청,8750446,경주디자인고등학교,Gyeongju Design High School,고등학교,경상북도,경상북도교육청,공립,38044 ,경상북도 경주시 현곡면 용담로 694,,054-745-3713,https://school.gyo6.net/godesign,남여공학,054-745-3714,특성화고,N,전문계,,전기,주간,20010301,20010301,20260423
R10,경상북도교육청,8750082,경주여자고등학교,Gyeongju  Girls  High School,고등학교,경상북도,경상북도교육청,공립,38131 ,경상북도 경주시 금성로 437,"(성건동,경주여자고등학교)",054-743-3841,https://school.gyo6.net/gokok-hs,여,054-772-7058,일반고,N,일반계,,전기,주간,19450223,19450223,20260423
R10,경상북도교육청,8750457,경주여자정보고등학교,Gyeongju Girls Information High School,고등학교,경상북도,경상북도교육청,사립,38200 ,경상북도 경주시 시동로 90,"(시래동, 경주여자정보고등학교)",0547460081,https://school.gyo6.net/newschool,여,054-746-1303,특성화고,N,전문계,,전기,주간,19741227,19741227,20260423
R10,경상북도교육청,8771117,경주여자중학교,Gyeongju Girls Middle School,중학교,경상북도,경상북도경주교육지원청,공립,38062 ,경상북도 경주시 태종로 613-12,"(서악동, 경주여자중학교)",054-743-0410,https://school.gyo6.net/happy,여,054-771-3885,,N,일반계,,전기,주간,19450223,19450223,20260423
R10,경상북도교육청,8750772,경주예일고등학교,Gyeongju Yale High School,고등학교,경상북도,경상북도교육청,사립,38018 ,경상북도 경주시 안강읍 화전길 62-8,(안강읍),070-7113-7331,https://school.gyo6.net/gj-yale/main.do?sysId=gj-yale,남여공학,054-761-0305,일반고,N,일반계,,전기,주간,19781108,19781108,20260423
R10,경상북도교육청,8750433,경주정보고등학교,Gyeongju business High School,고등학교,경상북도,경상북도교육청,사립,38057 ,경상북도 경주시 충효7길 19,"(충효동, 경주정보고등학교/월성중학교)",054-742-8965,https://school.gyo6.net/interneths,남,054-771-3888,특성화고,N,전문계,,전기,주간,19530410,19530410,20260423
R10,경상북도교육청,8771129,경주중학교,Gyeongju Middle School,중학교,경상북도,경상북도경주교육지원청,사립,38151 ,경상북도 경주시 원효로 231,"(황오동,경주중학교)",054-777-0302,http://gyeongju.ms.kr,남,054-777-0305,,N,일반계,,전기,주간,19380326,19380326,20260423
R10,경상북도교육청,8771070,경주초등학교,Gyeongju Elementary School,초등학교,경상북도,경상북도경주교육지원청,공립,38062 ,경상북도 경주시 충효2길 20,"(충효동,경주초등학교)",054-772-2456,https://school.gyo6.net/gyeongjues,남여공학,054-773-3999,,N,일반계,,전기,주간,19460601,19460601,20260423
R10,경상북도교육청,8750148,경주화랑고등학교,Gyeongju Hwarang High School,고등학교,경상북도,경상북도교육청,사립,38120 ,경상북도 경주시 문무대왕면 장항재동길 41,"(문무대왕면,경주화랑고등학교)",054-771-2355,https://school.gyo6.net/hwarang,남여공학,054-771-2356,특성화고,N,전문계,,전기,주간,19980204,19980324,20260423
R10,경상북도교육청,8750356,경희학교,Gyeonghui School,특수학교,경상북도,경상북도교육청,공립,38110 ,경상북도 경주시 초당길15번길 15,", 경희학교 (동천동)",054-749-1542,https://school.gyo6.net/gyeonghui,남여공학,054-749-5036,,N,해당없음,,전기,주간,19821211,19830325,20260423
R10,경상북도교육청,8851061,계당초등학교,Gyedang Elementary School,초등학교,경상북도,경상북도경산교육지원청,공립,38415 ,경상북도 경산시 와촌면 계당길 27,"(와촌면,계당초등학교)",053-852-0104,https://school.gyo6.net/kyedang,남여공학,053-851-7011,,N,일반계,,전기,주간,19600401,19600401,20260423
R10,경상북도교육청,8750083,계림고등학교,Gyerim High School,고등학교,경상북도,경상북도교육청,공립,38082 ,경상북도 경주시 용담로 122,(황성동),054-742-3398,https://school.gyo6.net/gyerim,남,054-743-8650,일반고,N,일반계,,전기,주간,19841229,19841229,20260423
R10,경상북도교육청,8771118,계림중학교,Gyerim Middle School,중학교,경상북도,경상북도경주교육지원청,공립,38086 ,경상북도 경주시 용담로 68,"(황성동, 계림중학교)",0547429061,https://school.gyo6.net/gyerimms,남여공학,0547725020,,N,일반계,,전기,주간,19851223,19851223,20260423
